27.7640   99.8630   16.00   3.10 0.0 0.0 0.0    546044
27.0800  100.8800    4.00   4.30 0.0 0.0 0.0    244092
27.7100  100.6900   11.00   5.70 0.0 0.0 0.0    315301
27.0670  100.7800   25.00   2.80 0.0 0.0 0.0    475418
27.0120  100.8420    5.00   3.70 0.0 0.0 0.0    534914
27.2850  100.2900   15.00   3.60 0.0 0.0 0.0    570896
27.0580  100.8610    8.00   3.60 0.0 0.0 0.0    571058
27.0900  101.9400   15.00   3.80 0.0 0.0 0.0    279855
27.8940  101.4010   12.00   3.10 0.0 0.0 0.0    402342
27.9600  101.3820   12.00   2.90 0.0 0.0 0.0    481749
27.9200  101.4030    9.00   3.40 0.0 0.0 0.0    531862
27.8900  101.3800   10.00   4.40 0.0 0.0 0.0    533191
27.2400  101.4320   16.00   3.30 0.0 0.0 0.0    566760
27.2520  101.0090   18.00   3.20 0.0 0.0 0.0    577632
27.3500  102.5000    7.00   3.70 0.0 0.0 0.0    247475
27.1300  102.9800    8.00   4.20 0.0 0.0 0.0    270812
27.1200  102.9900    9.00   4.30 0.0 0.0 0.0    275453
27.0400  102.7500   10.00   4.20 0.0 0.0 0.0    331777
27.0840  102.8940   13.00   3.00 0.0 0.0 0.0    477142
27.4400  102.4900   10.00   4.00 0.0 0.0 0.0    486173
27.1300  103.0200   10.00   4.90 0.0 0.0 0.0    268748
27.1000  103.1000   10.00   4.90 0.0 0.0 0.0    336148
27.0460  103.3880   10.00   4.00 0.0 0.0 0.0    426013
27.1120  103.3060   12.00   3.90 0.0 0.0 0.0    446701
27.1290  103.3480    5.00   3.20 0.0 0.0 0.0    476688
