#  Velocities of campaign stations with respective to EURASIA plate from 2009-2014
#  Lon.— Longitude in angle degree
#  Lat.— Latitude in angle degree
#  Ve  — Velocity(mm/a) in east component
#  Vn  — Velocity(mm/a) in north component
#  sVe — Velocity error(mm/a) in east component
#  sVn — Velocity error(mm/a) in north component
#  cor - Correlation between eastward and northward components
#  Site— station code
#  Lon.     Lat.    Ve     Vn       sVe     sVn  cor   Site
   117.3    31.0    6.65   -0.95    0.28    0.18  0  B377
   117.9    30.9    5.84   -1.19    0.20    0.32  0  B378
   119.5    30.9    6.20   -1.39    0.26    0.30  0  B379
   121.3    30.9    7.71    0.08    0.27    0.35  0  B380
   120.8    30.4    5.91   -1.51    0.30    0.28  0  B381
   122.2    30.3    9.12   -0.47    0.37    0.26  0  B382
   121.2    30.2    6.83   -0.61    0.18    0.33  0  B383
   121.8    31.7    6.65   -0.33    0.28    0.23  0  BB01
   119.0    36.7    5.36   -3.50    1.83    0.35  0  BB02
   117.6    35.5    5.76   -1.53    0.57    0.45  0  BB03
   118.4    34.7    6.35   -1.38    0.17    0.57  0  BB04
   118.9    34.2    6.39   -0.62    0.22    0.48  0  BB05
   116.8    38.3    8.73   -1.53    0.39    0.20  0  C002
   115.3    38.4    6.78    2.41    0.54    0.82  0  C004
   117.2    38.0    4.96   -1.80    0.60    0.18  0  C005
   114.6    38.3    5.97   -0.92    0.17    0.16  0  C006
   116.1    38.2    8.54   -1.88    0.36    0.44  0  C007
   116.8    37.7    3.21   -5.21    0.62    0.26  0  C009
   116.3    37.7    3.62   -1.75    0.80    0.61  0  C010
   114.9    37.6    4.28    3.26    0.31    0.29  0  C012
   114.4    37.9    5.53   -0.59    0.83    0.37  0  C013
   113.9    38.3    5.57   -0.64    0.27    0.30  0  C014
   114.2    38.2    9.93   -0.83    1.27    0.74  0  C015
   113.6    37.8    5.16   -1.54    0.33    0.37  0  C017
   117.6    37.6    5.45   -1.51    1.12    0.52  0  C018
   116.0    36.9    5.11    1.94    0.58    0.22  0  C020
   115.6    37.1    9.22   -3.43    0.28    0.24  0  C021
   115.4    37.3    7.07   -1.59    0.33    0.39  0  C022
